,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(42.7083, 32.7083, 25.8333)","(42.7083, 32.7083, 25.8333)","(42.7083, 32.7083, 25.8333)","(42.7083, 32.7083, 25.8333)","(42.7083, 32.7083, 25.8333)"
1,"(23.5294, 17.6471, 58.8235)","(23.5294, 17.6471, 58.8235)","(23.5294, 17.6471, 58.8235)","(23.5294, 17.6471, 58.8235)","(23.5294, 17.6471, 58.8235)"
2,"(47.0588, 27.451, 25.4902)","(47.0588, 27.451, 25.4902)","(47.0588, 27.451, 25.4902)","(47.0588, 27.451, 25.4902)","(47.0588, 27.451, 25.4902)"
3,"(58.8235, 23.5294, 17.6471)","(58.8235, 23.5294, 17.6471)","(58.8235, 23.5294, 17.6471)","(58.8235, 23.5294, 17.6471)","(58.8235, 23.5294, 17.6471)"
4,"(47.7707, 34.7134, 17.8344)","(47.7707, 34.7134, 17.8344)","(47.7707, 34.7134, 17.8344)","(47.7707, 34.7134, 17.8344)","(47.7707, 34.7134, 17.8344)"
5,"(19.2982, 40.3509, 45.614)","(19.2982, 40.3509, 45.614)","(19.2982, 40.3509, 45.614)","(19.2982, 40.3509, 45.614)","(19.2982, 40.3509, 45.614)"
6,"(18.1818, 9.0909, 72.7273)","(18.1818, 9.0909, 72.7273)","(18.1818, 9.0909, 72.7273)","(18.1818, 9.0909, 72.7273)","(18.1818, 9.0909, 72.7273)"
7,"(100.0, 100.0, 0.0)","(100.0, 100.0, 0.0)","(100.0, 100.0, 0.0)","(100.0, 100.0, 0.0)","(100.0, 100.0, 0.0)"
