,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(55.625, 46.0417, 0.0)","(55.625, 46.0417, 0.0)","(55.625, 46.0417, 0.0)","(49.7917, 40.0, 11.875)","(55.625, 46.0417, 0.0)"
1,"(35.2941, 64.7059, 0.0)","(35.2941, 64.7059, 0.0)","(35.2941, 64.7059, 0.0)","(23.5294, 29.4118, 47.0588)","(35.2941, 64.7059, 0.0)"
2,"(60.7843, 39.2157, 0.0)","(60.7843, 39.2157, 0.0)","(60.7843, 39.2157, 0.0)","(50.9804, 39.2157, 9.8039)","(60.7843, 39.2157, 0.0)"
3,"(64.7059, 35.2941, 0.0)","(64.7059, 35.2941, 0.0)","(64.7059, 35.2941, 0.0)","(64.7059, 35.2941, 0.0)","(64.7059, 35.2941, 0.0)"
4,"(58.9172, 41.7197, 0.0)","(58.9172, 41.7197, 0.0)","(58.9172, 41.7197, 0.0)","(54.4586, 38.2166, 7.9618)","(58.9172, 41.7197, 0.0)"
5,"(36.8421, 70.1754, 0.0)","(36.8421, 70.1754, 0.0)","(36.8421, 70.1754, 0.0)","(31.5789, 56.1404, 19.2982)","(36.8421, 70.1754, 0.0)"
6,"(50.0, 50.0, 0.0)","(50.0, 50.0, 0.0)","(50.0, 50.0, 0.0)","(31.8182, 31.8182, 36.3636)","(50.0, 50.0, 0.0)"
7,"(100.0, 100.0, 0.0)","(100.0, 100.0, 0.0)","(100.0, 100.0, 0.0)","(100.0, 100.0, 0.0)","(100.0, 100.0, 0.0)"
