,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(44.2068, 37.2549, 18.5383)","(44.2068, 37.2549, 18.5383)","(44.2068, 37.2549, 18.5383)","(44.2068, 37.2549, 18.5383)","(44.2068, 37.2549, 18.5383)"
1,"(37.5, 41.6667, 20.8333)","(37.5, 41.6667, 20.8333)","(37.5, 41.6667, 20.8333)","(37.5, 41.6667, 20.8333)","(37.5, 41.6667, 20.8333)"
2,"(38.2716, 41.9753, 19.7531)","(38.2716, 41.9753, 19.7531)","(38.2716, 41.9753, 19.7531)","(38.2716, 41.9753, 19.7531)","(38.2716, 41.9753, 19.7531)"
3,"(58.0645, 27.4194, 14.5161)","(58.0645, 27.4194, 14.5161)","(58.0645, 27.4194, 14.5161)","(58.0645, 27.4194, 14.5161)","(58.0645, 27.4194, 14.5161)"
4,"(41.1168, 40.1015, 18.7817)","(41.1168, 40.1015, 18.7817)","(41.1168, 40.1015, 18.7817)","(41.1168, 40.1015, 18.7817)","(41.1168, 40.1015, 18.7817)"
5,"(56.4815, 24.0741, 19.4444)","(56.4815, 24.0741, 19.4444)","(56.4815, 24.0741, 19.4444)","(56.4815, 24.0741, 19.4444)","(56.4815, 24.0741, 19.4444)"
6,"(24.3902, 68.2927, 7.3171)","(24.3902, 68.2927, 7.3171)","(24.3902, 68.2927, 7.3171)","(24.3902, 68.2927, 7.3171)","(24.3902, 68.2927, 7.3171)"
7,"(45.8333, 20.8333, 33.3333)","(45.8333, 20.8333, 33.3333)","(45.8333, 20.8333, 33.3333)","(45.8333, 20.8333, 33.3333)","(45.8333, 20.8333, 33.3333)"
