,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(54.902, 45.098, 0.0)","(54.902, 45.098, 0.0)","(54.902, 45.098, 0.0)","(54.902, 45.098, 0.0)","(54.902, 45.098, 0.0)"
1,"(45.8333, 54.1667, 0.0)","(45.8333, 54.1667, 0.0)","(45.8333, 54.1667, 0.0)","(45.8333, 54.1667, 0.0)","(45.8333, 54.1667, 0.0)"
2,"(49.3827, 50.6173, 0.0)","(49.3827, 50.6173, 0.0)","(49.3827, 50.6173, 0.0)","(49.3827, 50.6173, 0.0)","(49.3827, 50.6173, 0.0)"
3,"(61.2903, 38.7097, 0.0)","(61.2903, 38.7097, 0.0)","(61.2903, 38.7097, 0.0)","(61.2903, 38.7097, 0.0)","(61.2903, 38.7097, 0.0)"
4,"(50.7614, 49.2386, 0.0)","(50.7614, 49.2386, 0.0)","(50.7614, 49.2386, 0.0)","(50.7614, 49.2386, 0.0)","(50.7614, 49.2386, 0.0)"
5,"(72.2222, 27.7778, 0.0)","(72.2222, 27.7778, 0.0)","(72.2222, 27.7778, 0.0)","(72.2222, 27.7778, 0.0)","(72.2222, 27.7778, 0.0)"
6,"(29.2683, 70.7317, 0.0)","(29.2683, 70.7317, 0.0)","(29.2683, 70.7317, 0.0)","(29.2683, 70.7317, 0.0)","(29.2683, 70.7317, 0.0)"
7,"(75.0, 25.0, 0.0)","(75.0, 25.0, 0.0)","(75.0, 25.0, 0.0)","(75.0, 25.0, 0.0)","(75.0, 25.0, 0.0)"
