,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(55.2585, 45.098, 0.0)","(55.2585, 45.098, 0.0)","(55.2585, 45.098, 0.0)","(55.2585, 45.098, 0.0)","(55.2585, 45.098, 0.0)"
1,"(52.0833, 47.9167, 0.0)","(52.0833, 47.9167, 0.0)","(52.0833, 47.9167, 0.0)","(52.0833, 47.9167, 0.0)","(52.0833, 47.9167, 0.0)"
2,"(48.1481, 51.8519, 0.0)","(48.1481, 51.8519, 0.0)","(48.1481, 51.8519, 0.0)","(48.1481, 51.8519, 0.0)","(48.1481, 51.8519, 0.0)"
3,"(48.3871, 51.6129, 0.0)","(48.3871, 51.6129, 0.0)","(48.3871, 51.6129, 0.0)","(48.3871, 51.6129, 0.0)","(48.3871, 51.6129, 0.0)"
4,"(55.8376, 45.1777, 0.0)","(55.8376, 45.1777, 0.0)","(55.8376, 45.1777, 0.0)","(55.8376, 45.1777, 0.0)","(55.8376, 45.1777, 0.0)"
5,"(74.0741, 25.9259, 0.0)","(74.0741, 25.9259, 0.0)","(74.0741, 25.9259, 0.0)","(74.0741, 25.9259, 0.0)","(74.0741, 25.9259, 0.0)"
6,"(39.0244, 60.9756, 0.0)","(39.0244, 60.9756, 0.0)","(39.0244, 60.9756, 0.0)","(39.0244, 60.9756, 0.0)","(39.0244, 60.9756, 0.0)"
7,"(41.6667, 58.3333, 0.0)","(41.6667, 58.3333, 0.0)","(41.6667, 58.3333, 0.0)","(41.6667, 58.3333, 0.0)","(41.6667, 58.3333, 0.0)"
