,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(16.7558, 14.4385, 68.8057)","(16.7558, 14.4385, 68.8057)","(16.7558, 14.4385, 68.8057)","(16.7558, 14.4385, 68.8057)","(16.7558, 14.4385, 68.8057)"
1,"(20.8333, 14.5833, 64.5833)","(20.8333, 14.5833, 64.5833)","(20.8333, 14.5833, 64.5833)","(20.8333, 14.5833, 64.5833)","(20.8333, 14.5833, 64.5833)"
2,"(24.6914, 22.2222, 53.0864)","(24.6914, 22.2222, 53.0864)","(24.6914, 22.2222, 53.0864)","(24.6914, 22.2222, 53.0864)","(24.6914, 22.2222, 53.0864)"
3,"(17.7419, 14.5161, 67.7419)","(17.7419, 14.5161, 67.7419)","(17.7419, 14.5161, 67.7419)","(17.7419, 14.5161, 67.7419)","(17.7419, 14.5161, 67.7419)"
4,"(20.3046, 14.7208, 64.9746)","(20.3046, 14.7208, 64.9746)","(20.3046, 14.7208, 64.9746)","(20.3046, 14.7208, 64.9746)","(20.3046, 14.7208, 64.9746)"
5,"(4.6296, 7.4074, 87.963)","(4.6296, 7.4074, 87.963)","(4.6296, 7.4074, 87.963)","(4.6296, 7.4074, 87.963)","(4.6296, 7.4074, 87.963)"
6,"(12.1951, 14.6341, 73.1707)","(12.1951, 14.6341, 73.1707)","(12.1951, 14.6341, 73.1707)","(12.1951, 14.6341, 73.1707)","(12.1951, 14.6341, 73.1707)"
7,"(12.5, 16.6667, 70.8333)","(12.5, 16.6667, 70.8333)","(12.5, 16.6667, 70.8333)","(12.5, 16.6667, 70.8333)","(12.5, 16.6667, 70.8333)"
