xz,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(45.9893, 39.7504, 14.6168)","(45.8111, 39.9287, 14.6168)","(46.1676, 39.7504, 14.4385)","(45.9893, 39.9287, 14.4385)","(45.8111, 39.9287, 14.6168)"
1,"(54.1667, 25.0, 20.8333)","(54.1667, 25.0, 20.8333)","(54.1667, 25.0, 20.8333)","(54.1667, 25.0, 20.8333)","(54.1667, 25.0, 20.8333)"
2,"(56.7901, 35.8025, 7.4074)","(56.7901, 35.8025, 7.4074)","(56.7901, 35.8025, 7.4074)","(56.7901, 35.8025, 7.4074)","(56.7901, 35.8025, 7.4074)"
3,"(46.7742, 30.6452, 24.1935)","(46.7742, 30.6452, 24.1935)","(46.7742, 30.6452, 24.1935)","(46.7742, 30.6452, 24.1935)","(46.7742, 30.6452, 24.1935)"
4,"(52.7919, 36.5482, 11.1675)","(52.2843, 37.0558, 11.1675)","(53.2995, 36.5482, 10.6599)","(52.7919, 37.0558, 10.6599)","(51.7766, 37.0558, 11.6751)"
5,"(27.7778, 57.4074, 14.8148)","(28.7037, 57.4074, 13.8889)","(27.7778, 57.4074, 14.8148)","(27.7778, 57.4074, 14.8148)","(28.7037, 57.4074, 13.8889)"
6,"(24.3902, 51.2195, 24.3902)","(21.9512, 51.2195, 26.8293)","(24.3902, 51.2195, 24.3902)","(24.3902, 51.2195, 24.3902)","(24.3902, 51.2195, 24.3902)"
7,"(54.1667, 33.3333, 12.5)","(54.1667, 33.3333, 12.5)","(54.1667, 33.3333, 12.5)","(54.1667, 33.3333, 12.5)","(54.1667, 33.3333, 12.5)"
