,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(52.23, 47.77, 0)", "(52.23, 47.77, 0)", "(52.41, 47.59, 0)", "(52.41, 47.59, 0)", "(52.58, 47.42, 0)"
1,"(62.5, 37.5, 0)", "(62.5, 37.5, 0)", "(62.5, 37.5, 0)", "(62.5, 37.5, 0)", "(62.5, 37.5, 0)"
2,"(53.09, 46.91, 0)", "(53.09, 46.91, 0)", "(53.09, 46.91, 0)", "(54.32, 45.68, 0)", "(53.09, 46.91, 0)"
3,"(62.9, 37.1, 0)", "(62.9, 37.1, 0)", "(61.29, 38.71, 0)", "(62.9, 37.1, 0)", "(62.9, 37.1, 0)"
4,"(56.35, 43.65, 0)", "(56.85, 43.15, 0)", "(57.36, 42.64, 0)", "(56.85, 43.15, 0)", "(56.85, 43.15, 0)"
5,"(37.04, 62.96, 0)", "(36.11, 63.89, 0)", "(37.04, 62.96, 0)", "(36.11, 63.89, 0)", "(37.04, 62.96, 0)"
6,"(36.59, 63.41, 0)", "(36.59, 63.41, 0)", "(36.59, 63.41, 0)", "(36.59, 63.41, 0)", "(39.02, 60.98, 0)"
7,"(62.5, 37.5, 0)", "(62.5, 37.5, 0)", "(62.5, 37.5, 0)", "(62.5, 37.5, 0)", "(62.5, 37.5, 0)"
