,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(17.0833, 6.6667, 76.6667)","(17.0833, 6.6667, 76.6667)","(17.0833, 6.6667, 76.6667)","(17.0833, 6.6667, 76.6667)","(17.0833, 6.6667, 76.6667)"
1,"(35.2941, 5.8824, 58.8235)","(35.2941, 5.8824, 58.8235)","(35.2941, 5.8824, 58.8235)","(35.2941, 5.8824, 58.8235)","(35.2941, 5.8824, 58.8235)"
2,"(37.2549, 9.8039, 52.9412)","(37.2549, 9.8039, 52.9412)","(37.2549, 9.8039, 52.9412)","(37.2549, 9.8039, 52.9412)","(37.2549, 9.8039, 52.9412)"
3,"(23.5294, 5.8824, 70.5882)","(23.5294, 5.8824, 70.5882)","(23.5294, 5.8824, 70.5882)","(23.5294, 5.8824, 70.5882)","(23.5294, 5.8824, 70.5882)"
4,"(11.1465, 6.051, 83.121)","(11.1465, 6.051, 83.121)","(11.1465, 6.051, 83.121)","(11.1465, 6.051, 83.121)","(11.1465, 6.051, 83.121)"
5,"(19.2982, 8.7719, 73.6842)","(19.2982, 8.7719, 73.6842)","(19.2982, 8.7719, 73.6842)","(19.2982, 8.7719, 73.6842)","(19.2982, 8.7719, 73.6842)"
6,"(31.8182, 4.5455, 63.6364)","(31.8182, 4.5455, 63.6364)","(31.8182, 4.5455, 63.6364)","(31.8182, 4.5455, 63.6364)","(31.8182, 4.5455, 63.6364)"
7,"(0.0, 0.0, 100.0)","(0.0, 0.0, 100.0)","(0.0, 0.0, 100.0)","(0.0, 0.0, 100.0)","(0.0, 0.0, 100.0)"
