,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(50.625, 51.0417, 0.0)","(50.625, 51.0417, 0.0)","(50.625, 51.0417, 0.0)","(32.7083, 30.2083, 37.7083)","(50.625, 51.0417, 0.0)"
1,"(76.4706, 23.5294, 0.0)","(76.4706, 23.5294, 0.0)","(76.4706, 23.5294, 0.0)","(52.9412, 17.6471, 29.4118)","(76.4706, 23.5294, 0.0)"
2,"(56.8627, 43.1373, 0.0)","(56.8627, 43.1373, 0.0)","(56.8627, 43.1373, 0.0)","(50.9804, 25.4902, 23.5294)","(56.8627, 43.1373, 0.0)"
3,"(52.9412, 52.9412, 0.0)","(52.9412, 52.9412, 0.0)","(52.9412, 52.9412, 0.0)","(41.1765, 29.4118, 29.4118)","(52.9412, 52.9412, 0.0)"
4,"(46.1783, 54.4586, 0.0)","(46.1783, 54.4586, 0.0)","(46.1783, 54.4586, 0.0)","(27.0701, 33.4395, 40.1274)","(46.1783, 54.4586, 0.0)"
5,"(57.8947, 47.3684, 0.0)","(57.8947, 47.3684, 0.0)","(57.8947, 47.3684, 0.0)","(35.0877, 22.807, 43.8596)","(57.8947, 47.3684, 0.0)"
6,"(54.5455, 45.4545, 0.0)","(54.5455, 45.4545, 0.0)","(54.5455, 45.4545, 0.0)","(45.4545, 27.2727, 27.2727)","(54.5455, 45.4545, 0.0)"
7,"(100.0, 100.0, 0.0)","(100.0, 100.0, 0.0)","(100.0, 100.0, 0.0)","(0.0, 0.0, 100.0)","(100.0, 100.0, 0.0)"
