,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10
0,71.6578,22.9947,42.0677,52.5847,45.6328,79.5009,18.3601,41.7112,56.1497,48.3066
1,47.9167,52.0833,47.9167,52.0833,52.0833,47.9167,50.0,47.9167,50.0,52.0833
2,60.4938,38.2716,60.4938,38.2716,38.2716,58.0247,37.037,58.0247,37.037,41.9753
3,83.871,19.3548,83.871,19.3548,50.0,87.0968,8.0645,87.0968,8.0645,48.3871
4,79.6954,14.7208,35.0254,59.3909,47.2081,85.7868,12.6904,37.0558,61.4213,50.7614
5,71.2963,12.037,12.037,71.2963,42.5926,91.6667,7.4074,7.4074,91.6667,48.1481
6,65.8537,31.7073,31.7073,65.8537,41.4634,80.4878,19.5122,19.5122,80.4878,41.4634
7,70.8333,25.0,70.8333,25.0,54.1667,87.5,12.5,87.5,12.5,54.1667
