,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(45.9893, 54.902, 0.0)","(45.9893, 54.902, 0.0)","(45.9893, 54.902, 0.0)","(45.9893, 54.902, 0.0)","(45.9893, 54.902, 0.0)"
1,"(64.5833, 35.4167, 0.0)","(64.5833, 35.4167, 0.0)","(64.5833, 35.4167, 0.0)","(64.5833, 35.4167, 0.0)","(64.5833, 35.4167, 0.0)"
2,"(55.5556, 44.4444, 0.0)","(55.5556, 44.4444, 0.0)","(55.5556, 44.4444, 0.0)","(55.5556, 44.4444, 0.0)","(55.5556, 44.4444, 0.0)"
3,"(45.1613, 56.4516, 0.0)","(45.1613, 56.4516, 0.0)","(45.1613, 56.4516, 0.0)","(45.1613, 56.4516, 0.0)","(45.1613, 56.4516, 0.0)"
4,"(45.1777, 55.8376, 0.0)","(45.1777, 55.8376, 0.0)","(45.1777, 55.8376, 0.0)","(45.1777, 55.8376, 0.0)","(45.1777, 55.8376, 0.0)"
5,"(35.1852, 64.8148, 0.0)","(35.1852, 64.8148, 0.0)","(35.1852, 64.8148, 0.0)","(35.1852, 64.8148, 0.0)","(35.1852, 64.8148, 0.0)"
6,"(29.2683, 70.7317, 0.0)","(29.2683, 70.7317, 0.0)","(29.2683, 70.7317, 0.0)","(29.2683, 70.7317, 0.0)","(29.2683, 70.7317, 0.0)"
7,"(62.5, 45.8333, 0.0)","(62.5, 45.8333, 0.0)","(62.5, 45.8333, 0.0)","(62.5, 45.8333, 0.0)","(62.5, 45.8333, 0.0)"
