,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(20.1426, 18.1818, 61.8538)","(20.1426, 18.1818, 61.8538)","(20.1426, 18.1818, 61.8538)","(20.1426, 18.1818, 61.8538)","(20.1426, 18.1818, 61.8538)"
1,"(18.75, 12.5, 68.75)","(18.75, 12.5, 68.75)","(18.75, 12.5, 68.75)","(18.75, 12.5, 68.75)","(18.75, 12.5, 68.75)"
2,"(23.4568, 16.0494, 60.4938)","(23.4568, 16.0494, 60.4938)","(23.4568, 16.0494, 60.4938)","(23.4568, 16.0494, 60.4938)","(23.4568, 16.0494, 60.4938)"
3,"(33.871, 20.9677, 46.7742)","(33.871, 20.9677, 46.7742)","(33.871, 20.9677, 46.7742)","(33.871, 20.9677, 46.7742)","(33.871, 20.9677, 46.7742)"
4,"(21.3198, 20.8122, 57.868)","(21.3198, 20.8122, 57.868)","(21.3198, 20.8122, 57.868)","(21.3198, 20.8122, 57.868)","(21.3198, 20.8122, 57.868)"
5,"(8.3333, 12.037, 79.6296)","(8.3333, 12.037, 79.6296)","(8.3333, 12.037, 79.6296)","(8.3333, 12.037, 79.6296)","(8.3333, 12.037, 79.6296)"
6,"(14.6341, 34.1463, 51.2195)","(14.6341, 34.1463, 51.2195)","(14.6341, 34.1463, 51.2195)","(14.6341, 34.1463, 51.2195)","(14.6341, 34.1463, 51.2195)"
7,"(29.1667, 8.3333, 62.5)","(29.1667, 8.3333, 62.5)","(29.1667, 8.3333, 62.5)","(29.1667, 8.3333, 62.5)","(29.1667, 8.3333, 62.5)"
