,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(21.6146, 15.3646, 63.2812)","(21.6146, 15.3646, 63.2812)","(21.6146, 15.3646, 63.2812)","(21.6146, 15.3646, 63.2812)","(21.6146, 15.3646, 63.2812)"
1,"(9.434, 11.3208, 79.2453)","(9.434, 11.3208, 79.2453)","(9.434, 11.3208, 79.2453)","(9.434, 11.3208, 79.2453)","(9.434, 11.3208, 79.2453)"
2,"(22.7642, 14.6341, 62.6016)","(22.7642, 14.6341, 62.6016)","(22.7642, 14.6341, 62.6016)","(22.7642, 14.6341, 62.6016)","(22.7642, 14.6341, 62.6016)"
3,"(29.0323, 18.7097, 52.9032)","(29.0323, 18.7097, 52.9032)","(29.0323, 18.7097, 52.9032)","(29.0323, 18.7097, 52.9032)","(29.0323, 18.7097, 52.9032)"
