,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(59.1146, 41.9271, 0.0)","(59.1146, 41.9271, 0.0)","(59.1146, 41.9271, 0.0)","(59.1146, 41.9271, 0.0)","(59.1146, 41.9271, 0.0)"
1,"(55.6604, 44.3396, 0.0)","(55.6604, 44.3396, 0.0)","(55.6604, 44.3396, 0.0)","(55.6604, 44.3396, 0.0)","(55.6604, 44.3396, 0.0)"
2,"(63.4146, 36.5854, 0.0)","(63.4146, 36.5854, 0.0)","(63.4146, 36.5854, 0.0)","(63.4146, 36.5854, 0.0)","(63.4146, 36.5854, 0.0)"
3,"(58.0645, 44.5161, 0.0)","(58.0645, 44.5161, 0.0)","(58.0645, 44.5161, 0.0)","(58.0645, 44.5161, 0.0)","(58.0645, 44.5161, 0.0)"
