,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10
0,26.3815,74.1533,55.2585,45.8111,50.4456,19.0731,80.9269,57.041,42.959,51.5152
1,54.1667,47.9167,54.1667,45.8333,52.0833,52.0833,47.9167,52.0833,47.9167,47.9167
2,37.037,62.963,37.037,62.963,51.8519,38.2716,61.7284,38.2716,61.7284,44.4444
3,17.7419,87.0968,17.7419,87.0968,51.6129,8.0645,91.9355,8.0645,91.9355,50.0
4,22.335,76.6497,60.9137,41.6244,48.731,13.7056,86.2944,62.4365,37.5635,53.2995
5,17.5926,79.6296,77.7778,17.5926,49.0741,7.4074,92.5926,92.5926,7.4074,54.6296
6,24.3902,78.0488,78.0488,24.3902,43.9024,19.5122,80.4878,80.4878,19.5122,51.2195
7,33.3333,79.1667,29.1667,79.1667,70.8333,12.5,87.5,12.5,87.5,58.3333
