,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(44.0285, 56.328, 0.0)","(44.0285, 56.328, 0.0)","(44.0285, 56.328, 0.0)","(44.0285, 56.328, 0.0)","(44.0285, 56.328, 0.0)"
1,"(47.9167, 52.0833, 0.0)","(47.9167, 52.0833, 0.0)","(47.9167, 52.0833, 0.0)","(47.9167, 52.0833, 0.0)","(47.9167, 52.0833, 0.0)"
2,"(48.1481, 51.8519, 0.0)","(48.1481, 51.8519, 0.0)","(48.1481, 51.8519, 0.0)","(48.1481, 51.8519, 0.0)","(48.1481, 51.8519, 0.0)"
3,"(33.871, 66.129, 0.0)","(33.871, 66.129, 0.0)","(33.871, 66.129, 0.0)","(33.871, 66.129, 0.0)","(33.871, 66.129, 0.0)"
4,"(53.8071, 46.1929, 0.0)","(53.8071, 46.1929, 0.0)","(53.8071, 46.1929, 0.0)","(53.8071, 46.1929, 0.0)","(53.8071, 46.1929, 0.0)"
5,"(25.0, 75.0, 0.0)","(25.0, 75.0, 0.0)","(25.0, 75.0, 0.0)","(44.0285, 56.328, 0.0)","(44.0285, 56.328, 0.0)"
6,"(48.7805, 51.2195, 0.0)","(48.7805, 51.2195, 0.0)","(48.7805, 51.2195, 0.0)","(48.7805, 51.2195, 0.0)","(48.7805, 51.2195, 0.0)"
7,"(45.8333, 62.5, 0.0)","(45.8333, 62.5, 0.0)","(45.8333, 62.5, 0.0)","(45.8333, 62.5, 0.0)","(45.8333, 62.5, 0.0)"
