,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(11.0517, 10.5169, 78.4314)","(11.0517, 10.5169, 78.4314)","(11.0517, 10.5169, 78.4314)","(11.0517, 10.5169, 78.4314)","(11.0517, 10.5169, 78.4314)"
1,"(0.0, 0.0, 100.0)","(0.0, 0.0, 100.0)","(0.0, 0.0, 100.0)","(0.0, 0.0, 100.0)","(0.0, 0.0, 100.0)"
2,"(6.1728, 2.4691, 91.358)","(6.1728, 2.4691, 91.358)","(6.1728, 2.4691, 91.358)","(6.1728, 2.4691, 91.358)","(6.1728, 2.4691, 91.358)"
3,"(6.4516, 25.8065, 67.7419)","(6.4516, 25.8065, 67.7419)","(6.4516, 25.8065, 67.7419)","(6.4516, 25.8065, 67.7419)","(6.4516, 25.8065, 67.7419)"
4,"(18.7817, 10.1523, 71.066)","(18.7817, 10.1523, 71.066)","(18.7817, 10.1523, 71.066)","(18.7817, 10.1523, 71.066)","(18.7817, 10.1523, 71.066)"
5,"(4.6296, 8.3333, 87.037)","(4.6296, 8.3333, 87.037)","(4.6296, 8.3333, 87.037)","(4.6296, 8.3333, 87.037)","(4.6296, 8.3333, 87.037)"
6,"(17.0732, 21.9512, 60.9756)","(17.0732, 21.9512, 60.9756)","(17.0732, 21.9512, 60.9756)","(17.0732, 21.9512, 60.9756)","(17.0732, 21.9512, 60.9756)"
7,"(16.6667, 12.5, 70.8333)","(16.6667, 12.5, 70.8333)","(16.6667, 12.5, 70.8333)","(16.6667, 12.5, 70.8333)","(16.6667, 12.5, 70.8333)"
