,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(39.7917, 62.0833, 0.0)","(39.7917, 62.0833, 0.0)","(39.7917, 62.0833, 0.0)","(20.2083, 34.375, 45.8333)","(39.7917, 62.0833, 0.0)"
1,"(41.1765, 58.8235, 0.0)","(41.1765, 58.8235, 0.0)","(41.1765, 58.8235, 0.0)","(11.7647, 52.9412, 35.2941)","(41.1765, 58.8235, 0.0)"
2,"(58.8235, 41.1765, 0.0)","(58.8235, 41.1765, 0.0)","(58.8235, 41.1765, 0.0)","(31.3725, 29.4118, 39.2157)","(58.8235, 41.1765, 0.0)"
3,"(47.0588, 58.8235, 0.0)","(47.0588, 58.8235, 0.0)","(47.0588, 58.8235, 0.0)","(29.4118, 23.5294, 47.0588)","(47.0588, 58.8235, 0.0)"
4,"(33.121, 67.5159, 0.0)","(33.121, 67.5159, 0.0)","(33.121, 67.5159, 0.0)","(17.8344, 36.6242, 45.8599)","(33.121, 67.5159, 0.0)"
5,"(54.386, 52.6316, 0.0)","(54.386, 52.6316, 0.0)","(54.386, 52.6316, 0.0)","(19.2982, 26.3158, 56.1404)","(54.386, 52.6316, 0.0)"
6,"(40.9091, 59.0909, 0.0)","(40.9091, 59.0909, 0.0)","(40.9091, 59.0909, 0.0)","(31.8182, 31.8182, 36.3636)","(40.9091, 59.0909, 0.0)"
7,"(100.0, 100.0, 0.0)","(100.0, 100.0, 0.0)","(100.0, 100.0, 0.0)","(0.0, 0.0, 100.0)","(100.0, 100.0, 0.0)"
