,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10
0,27.9857,69.1622,55.4367,41.7112,51.6934,15.1515,65.7754,45.2763,35.6506,41.3547
1,50.0,41.6667,50.0,41.6667,45.8333,39.5833,39.5833,39.5833,39.5833,37.5
2,38.2716,64.1975,38.2716,64.1975,56.7901,28.3951,51.8519,28.3951,51.8519,43.2099
3,24.1935,79.0323,24.1935,79.0323,50.0,8.0645,67.7419,8.0645,67.7419,37.0968
4,28.934,67.5127,58.8832,37.5635,50.2538,9.6447,72.0812,50.2538,31.4721,39.5939
5,13.8889,81.4815,81.4815,13.8889,52.7778,8.3333,72.2222,72.2222,8.3333,42.5926
6,21.9512,75.6098,75.6098,21.9512,58.5366,17.0732,65.8537,65.8537,17.0732,51.2195
7,25.0,62.5,25.0,62.5,45.8333,12.5,79.1667,12.5,79.1667,45.8333
