,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10
0,64.5276,37.7897,46.7023,55.615,50.0891,78.2531,18.8948,41.533,55.615,47.2371
1,45.8333,54.1667,45.8333,54.1667,45.8333,47.9167,52.0833,47.9167,52.0833,52.0833
2,53.0864,45.679,53.0864,45.679,43.2099,60.4938,37.037,60.4938,37.037,43.2099
3,69.3548,35.4839,69.3548,35.4839,54.8387,87.0968,8.0645,87.0968,8.0645,50.0
4,74.6193,36.0406,46.7005,63.9594,55.3299,83.7563,13.7056,36.5482,60.9137,48.731
5,62.963,27.7778,27.7778,62.963,47.2222,88.8889,7.4074,7.4074,88.8889,45.3704
6,53.6585,36.5854,36.5854,53.6585,39.0244,80.4878,19.5122,19.5122,80.4878,41.4634
7,70.8333,45.8333,70.8333,45.8333,58.3333,79.1667,12.5,79.1667,12.5,50.0
