,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(9.7938, 8.7629, 81.4433)","(9.7938, 8.7629, 81.4433)","(9.7938, 8.7629, 81.4433)","(9.7938, 8.7629, 81.4433)","(9.7938, 8.7629, 81.4433)"
1,"(0.0, 1.8868, 98.1132)","(0.0, 1.8868, 98.1132)","(0.0, 1.8868, 98.1132)","(0.0, 1.8868, 98.1132)","(0.0, 1.8868, 98.1132)"
2,"(21.9512, 9.7561, 68.2927)","(21.9512, 9.7561, 68.2927)","(21.9512, 9.7561, 68.2927)","(21.9512, 9.7561, 68.2927)","(21.9512, 9.7561, 68.2927)"
3,"(6.9182, 12.5786, 80.5031)","(6.9182, 12.5786, 80.5031)","(6.9182, 12.5786, 80.5031)","(6.9182, 12.5786, 80.5031)","(6.9182, 12.5786, 80.5031)"
