,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(49.2268, 50.7732, 0.0)","(49.2268, 50.7732, 0.0)","(49.2268, 50.7732, 0.0)","(49.2268, 50.7732, 0.0)","(49.2268, 50.7732, 0.0)"
1,"(50.0, 50.0, 0.0)","(50.0, 50.0, 0.0)","(50.0, 50.0, 0.0)","(50.0, 50.0, 0.0)","(50.0, 50.0, 0.0)"
2,"(57.7236, 42.2764, 0.0)","(57.7236, 42.2764, 0.0)","(57.7236, 42.2764, 0.0)","(57.7236, 42.2764, 0.0)","(57.7236, 42.2764, 0.0)"
3,"(42.1384, 57.8616, 0.0)","(42.1384, 57.8616, 0.0)","(42.1384, 57.8616, 0.0)","(42.1384, 57.8616, 0.0)","(42.1384, 57.8616, 0.0)"
