,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(36.3257, 50.9395, 13.3612)","(35.2818, 50.7307, 14.6138)","(35.9081, 51.1482, 13.5699)","(36.3257, 50.7307, 13.5699)","(35.6994, 51.5658, 13.3612)"
1,"(58.8235, 23.5294, 17.6471)","(58.8235, 23.5294, 17.6471)","(58.8235, 23.5294, 17.6471)","(58.8235, 23.5294, 17.6471)","(58.8235, 23.5294, 17.6471)"
2,"(49.0196, 27.451, 23.5294)","(49.0196, 27.451, 23.5294)","(49.0196, 27.451, 23.5294)","(49.0196, 27.451, 23.5294)","(49.0196, 27.451, 23.5294)"
3,"(23.5294, 47.0588, 29.4118)","(23.5294, 47.0588, 29.4118)","(23.5294, 47.0588, 29.4118)","(23.5294, 47.0588, 29.4118)","(23.5294, 47.0588, 29.4118)"
4,"(31.5287, 59.5541, 9.2357)","(30.2548, 59.2357, 10.828)","(30.8917, 59.8726, 9.5541)","(31.5287, 59.5541, 9.2357)","(30.8917, 60.1911, 9.2357)"
5,"(50.8772, 31.5789, 21.0526)","(49.1228, 33.3333, 21.0526)","(50.8772, 33.3333, 19.2982)","(50.8772, 31.5789, 21.0526)","(49.1228, 33.3333, 21.0526)"
6,"(23.8095, 61.9048, 14.2857)","(23.8095, 57.1429, 19.0476)","(23.8095, 57.1429, 19.0476)","(23.8095, 57.1429, 19.0476)","(23.8095, 61.9048, 14.2857)"
7,"(100.0, 0.0, 0.0)","(100.0, 0.0, 0.0)","(100.0, 0.0, 0.0)","(100.0, 0.0, 0.0)","(100.0, 0.0, 0.0)"
