,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(42.7835, 39.433, 17.7835)","(42.7835, 39.433, 17.7835)","(42.7835, 39.433, 17.7835)","(42.7835, 39.433, 17.7835)","(42.7835, 39.433, 17.7835)"
1,"(25.4717, 18.8679, 55.6604)","(25.4717, 18.8679, 55.6604)","(25.4717, 18.8679, 55.6604)","(25.4717, 18.8679, 55.6604)","(25.4717, 18.8679, 55.6604)"
2,"(64.2276, 31.7073, 4.065)","(64.2276, 31.7073, 4.065)","(64.2276, 31.7073, 4.065)","(64.2276, 31.7073, 4.065)","(64.2276, 31.7073, 4.065)"
3,"(37.7358, 59.1195, 3.1447)","(37.7358, 59.1195, 3.1447)","(37.7358, 59.1195, 3.1447)","(37.7358, 59.1195, 3.1447)","(37.7358, 59.1195, 3.1447)"
