,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(53.6082, 46.3918, 0.0)","(53.6082, 46.3918, 0.0)","(53.6082, 46.3918, 0.0)","(53.6082, 46.3918, 0.0)","(53.6082, 46.3918, 0.0)"
1,"(59.434, 40.566, 0.0)","(59.434, 40.566, 0.0)","(59.434, 40.566, 0.0)","(59.434, 40.566, 0.0)","(59.434, 40.566, 0.0)"
2,"(65.0407, 34.9593, 0.0)","(65.0407, 34.9593, 0.0)","(65.0407, 34.9593, 0.0)","(65.0407, 34.9593, 0.0)","(65.0407, 34.9593, 0.0)"
3,"(40.8805, 59.1195, 0.0)","(40.8805, 59.1195, 0.0)","(40.8805, 59.1195, 0.0)","(40.8805, 59.1195, 0.0)","(40.8805, 59.1195, 0.0)"
