,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(50.7732, 49.2268, 0.0)","(50.7732, 49.2268, 0.0)","(51.0309, 48.9691, 0.0)","(51.0309, 48.9691, 0.0)","(51.0309, 48.9691, 0.0)"
1,"(37.7358, 62.2642, 0.0)","(37.7358, 62.2642, 0.0)","(37.7358, 62.2642, 0.0)","(37.7358, 62.2642, 0.0)","(37.7358, 62.2642, 0.0)"
2,"(65.0407, 34.9593, 0.0)","(65.0407, 34.9593, 0.0)","(65.0407, 34.9593, 0.0)","(65.0407, 34.9593, 0.0)","(65.0407, 34.9593, 0.0)"
3,"(48.4277, 51.5723, 0.0)","(48.4277, 51.5723, 0.0)","(49.0566, 50.9434, 0.0)","(49.0566, 50.9434, 0.0)","(49.0566, 50.9434, 0.0)"
