,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(37.8866, 37.8866, 24.2268)","(38.4021, 37.6289, 23.9691)","(37.8866, 38.1443, 23.9691)","(38.4021, 37.8866, 23.7113)","(38.6598, 38.4021, 22.9381)"
1,"(28.3019, 54.717, 16.9811)","(30.1887, 54.717, 15.0943)","(27.3585, 55.6604, 16.9811)","(29.2453, 54.717, 16.0377)","(29.2453, 55.6604, 15.0943)"
2,"(58.5366, 32.5203, 8.9431)","(58.5366, 31.7073, 9.7561)","(58.5366, 32.5203, 8.9431)","(58.5366, 31.7073, 9.7561)","(58.5366, 32.5203, 8.9431)"
3,"(28.3019, 30.8176, 40.8805)","(28.3019, 30.8176, 40.8805)","(28.9308, 30.8176, 40.2516)","(28.9308, 31.4465, 39.6226)","(29.5597, 31.4465, 38.9937)"
