,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10
0,80.9269,19.0731,42.959,57.041,49.1979,50.9804,52.4064,49.0196,52.0499,51.5152
1,47.9167,52.0833,47.9167,52.0833,52.0833,56.25,45.8333,54.1667,50.0,58.3333
2,61.7284,38.2716,61.7284,38.2716,44.4444,45.679,54.321,43.2099,55.5556,53.0864
3,91.9355,8.0645,91.9355,8.0645,51.6129,56.4516,50.0,54.8387,51.6129,43.5484
4,86.2944,13.7056,37.5635,62.4365,51.269,46.1929,57.868,49.2386,48.2234,53.2995
5,92.5926,7.4074,7.4074,92.5926,48.1481,55.5556,48.1481,42.5926,57.4074,47.2222
6,80.4878,19.5122,19.5122,80.4878,41.4634,51.2195,56.0976,53.6585,56.0976,46.3415
7,87.5,12.5,87.5,12.5,54.1667,62.5,33.3333,62.5,45.8333,66.6667
