,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10
0,73.6185,30.6595,47.0588,57.2193,50.9804,80.9269,19.2513,42.959,57.2193,49.1979
1,47.9167,62.5,47.9167,62.5,54.1667,47.9167,52.0833,47.9167,52.0833,52.0833
2,62.963,43.2099,62.963,43.2099,46.9136,61.7284,38.2716,61.7284,38.2716,44.4444
3,85.4839,29.0323,85.4839,29.0323,56.4516,91.9355,8.0645,91.9355,8.0645,51.6129
4,81.2183,23.3503,40.1015,64.467,52.2843,86.2944,13.7056,37.5635,62.4365,51.269
5,72.2222,23.1481,23.1481,72.2222,46.2963,92.5926,7.4074,7.4074,92.5926,48.1481
6,68.2927,31.7073,31.7073,68.2927,51.2195,80.4878,19.5122,19.5122,80.4878,41.4634
7,83.3333,20.8333,83.3333,20.8333,54.1667,87.5,16.6667,87.5,16.6667,54.1667
