,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(55.625, 22.5, 22.2917)","(55.625, 22.5, 22.2917)","(55.625, 22.5, 22.2917)","(55.625, 22.5, 22.2917)","(55.625, 22.5, 22.2917)"
1,"(23.5294, 0.0, 76.4706)","(23.5294, 0.0, 76.4706)","(23.5294, 0.0, 76.4706)","(23.5294, 0.0, 76.4706)","(23.5294, 0.0, 76.4706)"
2,"(39.2157, 23.5294, 37.2549)","(39.2157, 23.5294, 37.2549)","(39.2157, 23.5294, 37.2549)","(39.2157, 23.5294, 37.2549)","(39.2157, 23.5294, 37.2549)"
3,"(29.4118, 23.5294, 47.0588)","(29.4118, 23.5294, 47.0588)","(29.4118, 23.5294, 47.0588)","(29.4118, 23.5294, 47.0588)","(29.4118, 23.5294, 47.0588)"
4,"(69.1083, 24.8408, 6.3694)","(69.1083, 24.8408, 6.3694)","(69.1083, 24.8408, 6.3694)","(69.1083, 24.8408, 6.3694)","(69.1083, 24.8408, 6.3694)"
5,"(21.0526, 12.2807, 68.4211)","(21.0526, 12.2807, 68.4211)","(21.0526, 12.2807, 68.4211)","(21.0526, 12.2807, 68.4211)","(21.0526, 12.2807, 68.4211)"
6,"(40.9091, 22.7273, 36.3636)","(40.9091, 22.7273, 36.3636)","(40.9091, 22.7273, 36.3636)","(40.9091, 22.7273, 36.3636)","(40.9091, 22.7273, 36.3636)"
7,"(0.0, 100.0, 0.0)","(0.0, 100.0, 0.0)","(0.0, 100.0, 0.0)","(0.0, 100.0, 0.0)","(0.0, 100.0, 0.0)"
