,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(67.2917, 33.75, 0.0)","(67.2917, 33.75, 0.0)","(67.2917, 33.75, 0.0)","(61.4583, 26.6667, 12.7083)","(67.2917, 33.75, 0.0)"
1,"(58.8235, 41.1765, 0.0)","(58.8235, 41.1765, 0.0)","(58.8235, 41.1765, 0.0)","(23.5294, 17.6471, 58.8235)","(58.8235, 41.1765, 0.0)"
2,"(47.0588, 52.9412, 0.0)","(47.0588, 52.9412, 0.0)","(47.0588, 52.9412, 0.0)","(47.0588, 33.3333, 19.6078)","(47.0588, 52.9412, 0.0)"
3,"(76.4706, 29.4118, 0.0)","(76.4706, 29.4118, 0.0)","(76.4706, 29.4118, 0.0)","(47.0588, 23.5294, 29.4118)","(76.4706, 29.4118, 0.0)"
4,"(71.9745, 28.6624, 0.0)","(71.9745, 28.6624, 0.0)","(71.9745, 28.6624, 0.0)","(70.7006, 26.1146, 3.8217)","(71.9745, 28.6624, 0.0)"
5,"(63.1579, 40.3509, 0.0)","(63.1579, 40.3509, 0.0)","(63.1579, 40.3509, 0.0)","(42.1053, 22.807, 38.5965)","(63.1579, 40.3509, 0.0)"
6,"(63.6364, 36.3636, 0.0)","(63.6364, 36.3636, 0.0)","(63.6364, 36.3636, 0.0)","(59.0909, 31.8182, 9.0909)","(63.6364, 36.3636, 0.0)"
7,"(0.0, 100.0, 0.0)","(0.0, 100.0, 0.0)","(0.0, 100.0, 0.0)","(0.0, 100.0, 0.0)","(0.0, 100.0, 0.0)"
