,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(25.5155, 20.1031, 54.3814)","(25.5155, 20.1031, 54.3814)","(25.5155, 20.1031, 54.3814)","(25.5155, 20.1031, 54.3814)","(25.5155, 20.1031, 54.3814)"
1,"(20.7547, 14.1509, 65.0943)","(20.7547, 14.1509, 65.0943)","(20.7547, 14.1509, 65.0943)","(20.7547, 14.1509, 65.0943)","(20.7547, 14.1509, 65.0943)"
2,"(32.5203, 21.1382, 46.3415)","(32.5203, 21.1382, 46.3415)","(32.5203, 21.1382, 46.3415)","(32.5203, 21.1382, 46.3415)","(32.5203, 21.1382, 46.3415)"
3,"(23.2704, 23.2704, 53.4591)","(23.2704, 23.2704, 53.4591)","(23.2704, 23.2704, 53.4591)","(23.2704, 23.2704, 53.4591)","(23.2704, 23.2704, 53.4591)"
