,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(49.4845, 51.2887, 0.0)","(49.4845, 51.2887, 0.0)","(49.4845, 51.2887, 0.0)","(49.4845, 51.2887, 0.0)","(49.4845, 51.2887, 0.0)"
1,"(55.6604, 44.3396, 0.0)","(55.6604, 44.3396, 0.0)","(55.6604, 44.3396, 0.0)","(55.6604, 44.3396, 0.0)","(55.6604, 44.3396, 0.0)"
2,"(50.4065, 49.5935, 0.0)","(50.4065, 49.5935, 0.0)","(50.4065, 49.5935, 0.0)","(50.4065, 49.5935, 0.0)","(50.4065, 49.5935, 0.0)"
3,"(44.6541, 57.2327, 0.0)","(44.6541, 57.2327, 0.0)","(44.6541, 57.2327, 0.0)","(44.6541, 57.2327, 0.0)","(44.6541, 57.2327, 0.0)"
