,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(54.8969, 45.1031, 0.0)","(54.8969, 45.1031, 0.0)","(54.8969, 45.1031, 0.0)","(54.8969, 45.1031, 0.0)","(54.8969, 45.1031, 0.0)"
1,"(59.434, 40.566, 0.0)","(59.434, 40.566, 0.0)","(59.434, 40.566, 0.0)","(59.434, 40.566, 0.0)","(59.434, 40.566, 0.0)"
2,"(52.8455, 47.1545, 0.0)","(52.8455, 47.1545, 0.0)","(52.8455, 47.1545, 0.0)","(52.8455, 47.1545, 0.0)","(52.8455, 47.1545, 0.0)"
3,"(53.4591, 46.5409, 0.0)","(53.4591, 46.5409, 0.0)","(53.4591, 46.5409, 0.0)","(53.4591, 46.5409, 0.0)","(53.4591, 46.5409, 0.0)"
