,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(37.6289, 34.7938, 27.5773)","(37.6289, 34.7938, 27.5773)","(37.6289, 34.7938, 27.5773)","(37.6289, 34.7938, 27.5773)","(37.6289, 34.7938, 27.5773)"
1,"(32.0755, 22.6415, 45.283)","(32.0755, 22.6415, 45.283)","(32.0755, 22.6415, 45.283)","(32.0755, 22.6415, 45.283)","(32.0755, 22.6415, 45.283)"
2,"(34.1463, 39.0244, 26.8293)","(34.1463, 39.0244, 26.8293)","(34.1463, 39.0244, 26.8293)","(34.1463, 39.0244, 26.8293)","(34.1463, 39.0244, 26.8293)"
3,"(44.0252, 39.6226, 16.3522)","(44.0252, 39.6226, 16.3522)","(44.0252, 39.6226, 16.3522)","(44.0252, 39.6226, 16.3522)","(44.0252, 39.6226, 16.3522)"
