,Unnamed: 0,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10
0,0,0.8093,0.1907,0.4296,0.5704,0.477718,0.1747,0.7611,0.5241,0.4029,0.479501
1,1,0.4792,0.5208,0.4792,0.5208,0.520833,0.5208,0.4792,0.5208,0.4792,0.520833
2,2,0.6173,0.3827,0.6173,0.3827,0.493827,0.3704,0.6049,0.3704,0.6173,0.444444
3,3,0.9194,0.0806,0.9194,0.0806,0.467742,0.0645,0.8226,0.0645,0.8387,0.483871
4,4,0.8629,0.1371,0.3756,0.6244,0.472081,0.1168,0.8173,0.5838,0.3401,0.467005
5,5,0.9259,0.0741,0.0741,0.9259,0.472222,0.0648,0.8426,0.7963,0.0648,0.462963
6,6,0.8049,0.1951,0.1951,0.8049,0.512195,0.1707,0.7805,0.7805,0.1707,0.560976
7,7,0.875,0.125,0.875,0.125,0.375,0.0833,0.8333,0.0833,0.8333,0.541667
