,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(50.4456, 40.6417, 8.9127)","(50.4456, 40.6417, 8.9127)","(50.4456, 40.6417, 8.9127)","(50.4456, 40.6417, 8.9127)","(50.4456, 40.6417, 8.9127)"
1,"(50.0, 29.1667, 20.8333)","(50.0, 29.1667, 20.8333)","(50.0, 29.1667, 20.8333)","(50.0, 29.1667, 20.8333)","(50.0, 29.1667, 20.8333)"
2,"(56.7901, 37.037, 6.1728)","(56.7901, 37.037, 6.1728)","(56.7901, 37.037, 6.1728)","(56.7901, 37.037, 6.1728)","(56.7901, 37.037, 6.1728)"
3,"(51.6129, 37.0968, 11.2903)","(51.6129, 37.0968, 11.2903)","(51.6129, 37.0968, 11.2903)","(51.6129, 37.0968, 11.2903)","(51.6129, 37.0968, 11.2903)"
4,"(47.2081, 45.6853, 7.1066)","(47.2081, 45.6853, 7.1066)","(47.2081, 45.6853, 7.1066)","(47.2081, 45.6853, 7.1066)","(47.2081, 45.6853, 7.1066)"
5,"(51.8519, 42.5926, 5.5556)","(51.8519, 42.5926, 5.5556)","(51.8519, 42.5926, 5.5556)","(51.8519, 42.5926, 5.5556)","(51.8519, 42.5926, 5.5556)"
6,"(46.3415, 43.9024, 9.7561)","(46.3415, 43.9024, 9.7561)","(46.3415, 43.9024, 9.7561)","(46.3415, 43.9024, 9.7561)","(46.3415, 43.9024, 9.7561)"
7,"(54.1667, 29.1667, 16.6667)","(54.1667, 29.1667, 16.6667)","(54.1667, 29.1667, 16.6667)","(54.1667, 29.1667, 16.6667)","(54.1667, 29.1667, 16.6667)"
