,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5
0,"(55.26, 44.74, 0)", "(55.26, 44.74, 0)", "(55.26, 44.74, 0)", "(55.26, 44.74, 0)", "(55.26, 44.74, 0)"
1,"(60.42, 39.58, 0)", "(60.42, 39.58, 0)", "(60.42, 39.58, 0)", "(60.42, 39.58, 0)", "(60.42, 39.58, 0)"
2,"(60.49, 39.51, 0)", "(60.49, 39.51, 0)", "(60.49, 39.51, 0)", "(60.49, 39.51, 0)", "(60.49, 39.51, 0)"
3,"(56.45, 43.55, 0)", "(56.45, 43.55, 0)", "(56.45, 43.55, 0)", "(56.45, 43.55, 0)", "(56.45, 43.55, 0)"
4,"(50.76, 49.24, 0)", "(50.76, 49.24, 0)", "(50.76, 49.24, 0)", "(50.76, 49.24, 0)", "(50.76, 49.24, 0)"
5,"(55.56, 44.44, 0)", "(55.56, 44.44, 0)", "(55.56, 44.44, 0)", "(55.56, 44.44, 0)", "(55.56, 44.44, 0)"
6,"(51.22, 48.78, 0)", "(51.22, 48.78, 0)", "(51.22, 48.78, 0)", "(51.22, 48.78, 0)", "(51.22, 48.78, 0)"
7,"(66.67, 33.33, 0)", "(66.67, 33.33, 0)", "(66.67, 33.33, 0)", "(66.67, 33.33, 0)", "(66.67, 33.33, 0)"
